classifier,split,repeat,fold,panel,panel_label,panel_size,balanced_accuracy,macro_f1,accuracy,fit_seconds
RF,30,6,0,cnv+rppa,CNV+RPPA,2,0.5519311684108319,0.5991870330505255,0.7132352941176471,3.430647850036621
RF,30,6,0,mrna+rppa,mRNA+RPPA,2,0.6579652605459058,0.6679501255588212,0.8455882352941176,3.6257872581481934
RF,30,6,0,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.5601985111662532,0.5755954683614258,0.7647058823529411,2.8780834674835205
RF,30,6,0,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.556717013701586,0.604852237545736,0.7352941176470589,2.8641531467437744
RF,30,6,0,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.6209817671809257,0.6435914123162445,0.8161764705882353,2.997469425201416
RF,30,6,0,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.7355334987593052,0.7795682102628285,0.8308823529411765,4.740272045135498
RF,30,6,0,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.5949379652605459,0.6099523809523809,0.7941176470588235,3.113185405731201
XGB,30,6,0,EMPTY,Baseline,0,0.2,0.1293532338308458,0.47794117647058826,0.0
XGB,30,6,0,mutations,Mutations,1,0.3770676448376308,0.34553501293227323,0.6029411764705882,7.015560150146484
XGB,30,6,0,cnv,CNV,1,0.5222321717553134,0.5485758645648582,0.6397058823529411,9.252398252487183
XGB,30,6,0,mrna,mRNA,1,0.8454838709677419,0.8582273362252775,0.8823529411764706,6.467388153076172
XGB,30,6,0,rppa,RPPA,1,0.6844805264861366,0.7226017452969964,0.8235294117647058,7.541703701019287
XGB,30,6,0,mutations+cnv,Mutations+CNV,2,0.5323389793936779,0.5604913542471702,0.6691176470588235,15.584535121917725
XGB,30,6,0,mutations+mrna,Mutations+mRNA,2,0.6799751861042184,0.7122967812329514,0.8235294117647058,13.106652021408081
XGB,30,6,0,mutations+rppa,Mutations+RPPA,2,0.665958571582695,0.6984547726136932,0.8088235294117647,14.681205987930298
XGB,30,6,0,cnv+mrna,CNV+mRNA,2,0.8356575682382135,0.8532537751515854,0.875,13.012969493865967
XGB,30,6,0,cnv+rppa,CNV+RPPA,2,0.6814036034092135,0.7089839572192514,0.8161764705882353,14.696346998214722
XGB,30,6,0,mrna+rppa,mRNA+RPPA,2,0.7985607940446651,0.8302379021357125,0.8823529411764706,13.1084566116333
XGB,30,6,0,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.7825806451612903,0.8055922306226566,0.8602941176470589,17.755202531814575
XGB,30,6,0,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.665958571582695,0.7025160800894515,0.8088235294117647,23.097829580307007
XGB,30,6,0,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.7510421836228287,0.7748247978436658,0.8676470588235294,17.73030948638916
XGB,30,6,0,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.7767245657568238,0.8055866274844379,0.8676470588235294,17.414687633514404
XGB,30,6,0,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.7638213399503722,0.7933344968230267,0.8529411764705882,24.55883264541626
SVM,30,6,0,EMPTY,Baseline,0,0.2,0.1293532338308458,0.47794117647058826,0.0
SVM,30,6,0,mutations,Mutations,1,0.41788326680332294,0.3834591103104662,0.5882352941176471,0.028446674346923828
SVM,30,6,0,cnv,CNV,1,0.6557945840975294,0.5641889652088777,0.5955882352941176,0.02787637710571289
SVM,30,6,0,mrna,mRNA,1,0.8531265508684864,0.8436944163007993,0.8897058823529411,0.016507625579833984
SVM,30,6,0,rppa,RPPA,1,0.7127683676772035,0.6847996753085199,0.7867647058823529,0.022200822830200195
SVM,30,6,0,mutations+cnv,Mutations+CNV,2,0.6557945840975294,0.5676810287009413,0.5955882352941176,0.03263258934020996
SVM,30,6,0,mutations+mrna,Mutations+mRNA,2,0.8562034739454095,0.8510672126499734,0.8970588235294118,0.022387981414794922
SVM,30,6,0,mutations+rppa,Mutations+RPPA,2,0.7253738267342756,0.7277030936543132,0.8088235294117647,0.030862808227539062
SVM,30,6,0,cnv+mrna,CNV+mRNA,2,0.8063771712158809,0.7824865150374496,0.8235294117647058,0.028875350952148438
SVM,30,6,0,cnv+rppa,CNV+RPPA,2,0.6265605782716582,0.5630442390330941,0.6029411764705882,0.03326582908630371
SVM,30,6,0,mrna+rppa,mRNA+RPPA,2,0.8626550868486353,0.8608749049576658,0.9044117647058824,0.02262711524963379
SVM,30,6,0,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.8063771712158809,0.7824865150374496,0.8235294117647058,0.03252530097961426
SVM,30,6,0,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.6265605782716582,0.5630442390330941,0.6029411764705882,0.03791356086730957
SVM,30,6,0,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.8126550868486353,0.8236842412906243,0.8970588235294118,0.025333404541015625
SVM,30,6,0,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.809454094292804,0.7864328908330488,0.8308823529411765,0.03323245048522949
SVM,30,6,0,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.809454094292804,0.7864328908330488,0.8308823529411765,0.038289546966552734
RF,31,6,1,EMPTY,Baseline,0,0.2,0.1293532338308458,0.47794117647058826,0.0
RF,31,6,1,mutations,Mutations,1,0.36049196245549686,0.3058800521512386,0.5955882352941176,2.178098440170288
RF,31,6,1,cnv,CNV,1,0.4700582587118352,0.4962896129211919,0.5955882352941176,2.1864864826202393
RF,31,6,1,mrna,mRNA,1,0.6312827705254073,0.636130007558579,0.8088235294117647,2.1377711296081543
RF,31,6,1,rppa,RPPA,1,0.47251267666414937,0.48162369628702545,0.6544117647058824,3.621354341506958
RF,31,6,1,mutations+cnv,Mutations+CNV,2,0.46825871183514944,0.453088538686916,0.6470588235294118,3.0486226081848145
RF,31,6,1,mutations+mrna,Mutations+mRNA,2,0.5965433164311145,0.603692951343958,0.7794117647058824,2.5939688682556152
RF,31,6,1,mutations+rppa,Mutations+RPPA,2,0.4778336390117596,0.48,0.6911764705882353,2.6481869220733643
RF,31,6,1,cnv+mrna,CNV+mRNA,2,0.6988477721437049,0.7526001296698139,0.7941176470588235,2.754026412963867
RF,31,6,1,cnv+rppa,CNV+RPPA,2,0.4848807854137448,0.49800774359762573,0.6838235294117647,4.2551329135894775
RF,31,6,1,mrna+rppa,mRNA+RPPA,2,0.5999180062574172,0.6129924041688748,0.7794117647058824,2.5102691650390625
RF,31,6,1,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.6429312762973353,0.6878369252574097,0.7941176470588235,2.8099472522735596
RF,31,6,1,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.49127198187506743,0.5086525922098374,0.6911764705882353,2.850205183029175
RF,31,6,1,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.5772488941633402,0.5867187039027927,0.7573529411764706,4.148735523223877
RF,31,6,1,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.5797302837415039,0.598438041744678,0.75,3.5063204765319824
RF,31,6,1,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.589319236163556,0.5975420960736011,0.7647058823529411,3.140995979309082
XGB,31,6,1,EMPTY,Baseline,0,0.2,0.1293532338308458,0.47794117647058826,0.0
XGB,31,6,1,mutations,Mutations,1,0.37211457546660914,0.38234996419193124,0.5514705882352942,9.883157968521118
XGB,31,6,1,cnv,CNV,1,0.5454968173481498,0.5486443928997854,0.6470588235294118,6.3705034255981445
XGB,31,6,1,mrna,mRNA,1,0.7719387204660697,0.7969773725092874,0.8455882352941176,7.997888803482056
XGB,31,6,1,rppa,RPPA,1,0.5548343942172834,0.5569611799321174,0.6985294117647058,5.657593488693237
XGB,31,6,1,mutations+cnv,Mutations+CNV,2,0.5535969360233035,0.5529204944382423,0.6691176470588235,15.34989047050476
XGB,31,6,1,mutations+mrna,Mutations+mRNA,2,0.7632430682921567,0.7842506764423496,0.8382352941176471,12.823290586471558
XGB,31,6,1,mutations+rppa,Mutations+RPPA,2,0.6135300463911965,0.6250922007384793,0.7132352941176471,14.474416971206665
XGB,31,6,1,cnv+mrna,CNV+mRNA,2,0.7525838817563922,0.7724126172208013,0.8235294117647058,12.644470453262329
XGB,31,6,1,cnv+rppa,CNV+RPPA,2,0.6421760707735462,0.6556747681424125,0.7573529411764706,13.9819815158844
XGB,31,6,1,mrna+rppa,mRNA+RPPA,2,0.749865141870752,0.7566735347985348,0.8088235294117647,12.501048564910889
XGB,31,6,1,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.7343596936023303,0.7499226014233027,0.8014705882352942,17.36064600944519
XGB,31,6,1,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.6890991476966231,0.6974201238169785,0.7573529411764706,18.841989994049072
XGB,31,6,1,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.7060189880245982,0.7155968734056584,0.8161764705882353,20.421202898025513
XGB,31,6,1,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.7683266803322903,0.7905070830355342,0.8235294117647058,16.944940328598022
XGB,31,6,1,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.752942064947675,0.777489564698867,0.8161764705882353,20.56903648376465
SVM,31,6,1,EMPTY,Baseline,0,0.2,0.1293532338308458,0.47794117647058826,0.0
SVM,31,6,1,mutations,Mutations,1,0.36611069155248677,0.32472674272961216,0.5661764705882353,0.028612613677978516
SVM,31,6,1,cnv,CNV,1,0.6673330456359909,0.5612463944534124,0.5882352941176471,0.023992300033569336
SVM,31,6,1,mrna,mRNA,1,0.8830197432301219,0.8778827753641707,0.8970588235294118,0.016248703002929688
SVM,31,6,1,rppa,RPPA,1,0.5952529938504693,0.5905077257445849,0.7279411764705882,0.021312952041625977
SVM,31,6,1,mutations+cnv,Mutations+CNV,2,0.6519484302513756,0.5497871010586352,0.5808823529411765,0.03246355056762695
SVM,31,6,1,mutations+mrna,Mutations+mRNA,2,0.8830197432301219,0.8778827753641707,0.8970588235294118,0.0221097469329834
SVM,31,6,1,mutations+rppa,Mutations+RPPA,2,0.6140122990613874,0.6018648381902238,0.7352941176470589,0.04742884635925293
SVM,31,6,1,cnv+mrna,CNV+mRNA,2,0.8553274355378143,0.8241053157045087,0.8308823529411765,0.04637646675109863
SVM,31,6,1,cnv+rppa,CNV+RPPA,2,0.6897648074225914,0.5911748454304053,0.6176470588235294,0.05219697952270508
SVM,31,6,1,mrna+rppa,mRNA+RPPA,2,0.8796450534038192,0.8772304261385931,0.8970588235294118,0.03885984420776367
SVM,31,6,1,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.8553274355378143,0.8241053157045087,0.8308823529411765,0.048383235931396484
SVM,31,6,1,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.6897648074225914,0.5911748454304053,0.6176470588235294,0.05598020553588867
SVM,31,6,1,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.8796450534038192,0.8772304261385931,0.8970588235294118,0.0377349853515625
SVM,31,6,1,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.8053274355378143,0.7869468802702111,0.8235294117647058,0.04487776756286621
SVM,31,6,1,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.8053274355378143,0.7869468802702111,0.8235294117647058,0.05287957191467285
RF,32,6,2,EMPTY,Baseline,0,0.2,0.12864321608040202,0.4740740740740741,0.0
RF,32,6,2,mutations,Mutations,1,0.3212365591397849,0.27846872082166196,0.5481481481481482,3.749162435531616
RF,32,6,2,cnv,CNV,1,0.3386321339950372,0.35460606060606065,0.5703703703703704,2.265326976776123
RF,32,6,2,mrna,mRNA,1,0.633354011579818,0.6535910742877474,0.8296296296296296,2.085263729095459
RF,32,6,2,rppa,RPPA,1,0.5613110008271299,0.5798874065023294,0.7555555555555555,2.1729891300201416
RF,32,6,2,mutations+cnv,Mutations+CNV,2,0.38966863110008265,0.3882744715820051,0.6074074074074074,2.6201138496398926
RF,32,6,2,mutations+mrna,Mutations+mRNA,2,0.5801049421009099,0.6065880539858963,0.7851851851851852,4.231616020202637
RF,32,6,2,mutations+rppa,Mutations+RPPA,2,0.4673180314309347,0.4718757467144564,0.6814814814814815,2.9600741863250732
RF,32,6,2,cnv+mrna,CNV+mRNA,2,0.5507806038047973,0.5760362811791383,0.7703703703703704,2.574371814727783
RF,32,6,2,cnv+rppa,CNV+RPPA,2,0.5216087675765095,0.5523688149843037,0.7407407407407407,2.5807478427886963
RF,32,6,2,mrna+rppa,mRNA+RPPA,2,0.6121174524400331,0.6347474747474748,0.8074074074074075,2.8055224418640137
RF,32,6,2,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.5430857113316792,0.5665780661050293,0.7555555555555555,4.648235559463501
RF,32,6,2,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.48647125723738627,0.5018894830659536,0.7111111111111111,2.888826370239258
RF,32,6,2,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.601302729528536,0.6356956220338079,0.8074074074074075,2.8038058280944824
RF,32,6,2,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.5954895574855252,0.6174244306418218,0.7925925925925926,2.8002586364746094
