estimator,classifier,pair,pair_label,n_bootstrap_requested,redundancy_mean,redundancy_sd,redundancy_ci95_low,redundancy_ci95_high,unique_a_mean,unique_a_sd,unique_a_ci95_low,unique_a_ci95_high,unique_b_mean,unique_b_sd,unique_b_ci95_low,unique_b_ci95_high,synergy_mean,synergy_sd,synergy_ci95_low,synergy_ci95_high,mi_a_mean,mi_a_sd,mi_a_ci95_low,mi_a_ci95_high,mi_b_mean,mi_b_sd,mi_b_ci95_low,mi_b_ci95_high,mi_joint_mean,mi_joint_sd,mi_joint_ci95_low,mi_joint_ci95_high,n_valid_bootstrap,n_failed_bootstrap,solver_valid_rate,median_max_numerical_error,median_solver_seconds
BROJA,XGB,mutations+mrna,Mutations+mRNA,1000,0.2888180682299688,0.024046200384472582,0.2430161999131028,0.3350714325256568,0.0004724382757491399,0.0007513998151781454,-2.037723148987992e-11,0.0023946958128516025,0.8473043830407794,0.04210812321408739,0.7650807201077392,0.9303694332014133,0.041687738817602425,0.007246460935162251,0.028121838259698474,0.05730397058395445,0.2892905065560351,0.024122599267212167,0.24320825986292569,0.3353270484383791,1.1361224514682893,0.03802612942421063,1.0624263372764589,1.209561409765632,1.1782826283640997,0.03589860986866192,1.109382791891983,1.247587372077107,1000,0,1.0,1.4963620897923136e-09,0.023709535598754883
BROJA,XGB,mutations+rppa,Mutations+RPPA,1000,0.2773746682450438,0.023117115578816926,0.23174879142333982,0.32081292029708935,0.011915838228609968,0.005667346966362156,0.004096641169552177,0.026031129574663355,0.5252296805426595,0.04240228392583634,0.4442691663807313,0.6094541458549816,0.09336729206788684,0.014074182644746665,0.06635820564622492,0.1212100128337286,0.2892905065560351,0.024122599267212167,0.24320825986292569,0.3353270484383791,0.8026043489691685,0.03881181583678798,0.7249834373306956,0.8768022418933602,0.9078874790842002,0.03495688732887963,0.8411314427462672,0.9776440401146133,1000,0,1.0,1.2554954298416021e-09,0.025400280952453613
BROJA,XGB,cnv+mrna,CNV+mRNA,1000,0.41326830612273285,0.030329774844473825,0.3553096168436007,0.4746889632153568,0.007939135350529751,0.0027045189925151976,0.0035441128440772286,0.013871104390900241,0.7228541451495999,0.04392755594801742,0.6370036953043048,0.8126244887417411,0.06994620399833121,0.012306585591113108,0.046809796696712466,0.09592992138893064,0.42120744155572654,0.030346017848355583,0.36247412809803364,0.48185992918988474,1.1361224514682893,0.03802612942421063,1.0624263372764589,1.209561409765632,1.2140077906211937,0.03460453596914205,1.148614658607132,1.2808313839284549,1000,0,1.0,1.3436656787213508e-09,0.021129250526428223
BROJA,XGB,cnv+rppa,CNV+RPPA,1000,0.3939203997578445,0.029744327240108052,0.33556954483009926,0.4522603803170934,0.027287041703304336,0.007551462121182215,0.015025223883912696,0.04439740721916327,0.4086839491294812,0.04024256219534335,0.33265087801284987,0.4876258915435579,0.10807838011739454,0.01500697723594105,0.08053520516064845,0.13725473967806034,0.42120744155572654,0.030346017848355583,0.36247412809803364,0.48185992918988474,0.8026043489691685,0.03881181583678798,0.7249834373306956,0.8768022418933602,0.9379697707080245,0.03632555422087728,0.86983655306052,1.009144666837391,1000,0,1.0,1.3507083229669092e-09,0.022632360458374023
BROJA,XGB,mrna+rppa,mRNA+RPPA,1000,0.7808547336208215,0.03659411356773121,0.7120183239516762,0.8537021936511047,0.35526764469772315,0.03926456735209061,0.28035855049222186,0.4337587959631957,0.021749569654754948,0.014789689000035487,0.001718631835983506,0.05420247143686777,0.10451269552298494,0.013135504299498084,0.07881158707915512,0.13070692486927613,1.1361224514682893,0.03802612942421063,1.0624263372764589,1.209561409765632,0.8026043489691685,0.03881181583678798,0.7249834373306956,0.8768022418933602,1.2623846434962842,0.03660609897513177,1.1913707357810852,1.3322414938529388,1000,0,0.998,1.384056536046785e-09,0.024891018867492676
BROJA,SVM,mutations+cnv,Mutations+CNV,1000,0.27841608600748075,0.022633876850823596,0.2327116303188449,0.3218987217066981,0.08299177032876964,0.030065704678435563,0.03123351431380353,0.14785068748606592,0.2525801716855713,0.03186363174325252,0.190677927247187,0.3179311614117338,0.18347760655932702,0.01793603598890744,0.14986874540816775,0.21992482726575346,0.3614078564440856,0.030885958607174965,0.30186891309305036,0.4199094968703537,0.5309962578564,0.03895985216911024,0.45316456588021364,0.6076902570456575,0.7974656345811486,0.03531471546932416,0.7321153888143703,0.8666839478888547,1000,0,1.0,1.2536899296478055e-09,0.025729775428771973
BROJA,SVM,mutations+mrna,Mutations+mRNA,1000,0.36117480652147765,0.030810697588992256,0.30185568094660853,0.41978993994376484,0.00023304995953265246,0.0007666896634237923,-2.7603542799391024e-11,0.0021325195679135016,0.9429124695616816,0.04620277969522531,0.8541357275041992,1.034909156987564,0.050288268097848976,0.011148478921383796,0.0317239317914245,0.07431281802106438,0.3614078564440856,0.030885958607174965,0.30186891309305036,0.4199094968703537,1.3040872760662379,0.03750496740988636,1.2304818192507345,1.3798928137601956,1.3546085941405408,0.03582730403989175,1.2835840656620086,1.4264464122608538,1000,0,1.0,1.4834510009276158e-09,0.01859891414642334
BROJA,SVM,mutations+rppa,Mutations+RPPA,1000,0.3493285369426013,0.028477293625573854,0.29365746323827085,0.40454134465665864,0.012079319485741853,0.008348651382961331,0.001102773119019917,0.03329639676736993,0.5549795222232895,0.04723085703421477,0.46660682627279687,0.6488766529226974,0.13192382848637435,0.018550001817976697,0.09839685282183602,0.16973570421099718,0.3614078564440856,0.030885958607174965,0.30186891309305036,0.4199094968703537,0.9043080592078734,0.04081085090902345,0.8265970084679511,0.9859172674166948,1.0483112071380067,0.03653980603458474,0.9761242997733014,1.121749196751836,1000,0,1.0,1.4222756306025985e-09,0.02670001983642578
BROJA,SVM,cnv+mrna,CNV+mRNA,1000,0.5145902503830585,0.03798072747918938,0.4368060742523426,0.5892185727919598,0.016406007387615707,0.007875641970977374,0.0037506059357249088,0.03494234392058948,0.789497025636169,0.04745119233903339,0.696713143769381,0.8802065781860113,0.06825863185366632,0.012934878120762416,0.044841340284557364,0.09400095702267144,0.5309962578564,0.03895985216911024,0.45316456588021364,0.6076902570456575,1.3040872760662379,0.03750496740988636,1.2304818192507345,1.3798928137601956,1.3887519152605095,0.03315426474016605,1.3263537744725713,1.4531607991929685,1000,0,1.0,1.4252587998697663e-09,0.01782691478729248
BROJA,SVM,cnv+rppa,CNV+RPPA,1000,0.46360711280252487,0.036702827352468104,0.3924327005999548,0.5368633064007946,0.06738914500600426,0.012123294654554397,0.0449344264480744,0.09190393496715085,0.4407009463436221,0.04778891288343873,0.351863041454766,0.5322829324924951,0.12377668118105377,0.01770376987765329,0.09080870396459073,0.15933251749217311,0.5309962578564,0.03895985216911024,0.45316456588021364,0.6076902570456575,0.9043080592078734,0.04081085090902345,0.8265970084679511,0.9859172674166948,1.0954738853332049,0.03661950568521813,1.0253973689069675,1.164807624927863,1000,0,1.0,1.580701014525232e-09,0.02539372444152832
BROJA,SVM,mrna+rppa,mRNA+RPPA,1000,0.875001748174647,0.03891410434498337,0.8001727446122568,0.9504368934385512,0.42908552755732843,0.04184653106447922,0.34819195596734737,0.5081257444841345,0.029306310884783242,0.015872630180492984,0.004557048058943771,0.06376747067507073,0.07528397766554346,0.01349970790768385,0.048852828271723055,0.10252530923993106,1.3040872760662379,0.03750496740988636,1.2304818192507345,1.3798928137601956,0.9043080592078734,0.04081085090902345,0.8265970084679511,0.9859172674166948,1.408677564282302,0.03424200422772393,1.342245516166819,1.474378296912873,1000,0,1.0,1.1729080207079079e-09,0.01854228973388672
