classifier,repeat,panel,panel_label,panel_size,panel_score,best_constituent_single,best_constituent_single_score,integration_gain,gain_positive
SVM,2,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.6529531323048153,cnv,0.6554259404106879,-0.0024728081058725815,False
SVM,2,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.8195977316862662,mrna,0.8187836291221636,0.0008141025641025257,True
SVM,2,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.8055197746970189,mrna,0.8187836291221636,-0.013263854425144772,False
SVM,2,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.8067601593124033,mrna,0.8187836291221636,-0.012023469809760323,False
SVM,3,mutations+cnv,Mutations+CNV,2,0.6494484662135434,cnv,0.6488234662135433,0.0006250000000000977,True
SVM,3,mutations+mrna,Mutations+mRNA,2,0.8205991656777071,mrna,0.8205991656777071,0.0,False
SVM,3,mutations+rppa,Mutations+RPPA,2,0.6656107589815514,rppa,0.6604179343330816,0.005192824648469818,True
SVM,3,cnv+mrna,CNV+mRNA,2,0.8151224287050024,mrna,0.8205991656777071,-0.005476736972704677,False
SVM,3,cnv+rppa,CNV+RPPA,2,0.6489384102923724,rppa,0.6604179343330816,-0.011479524040709177,False
SVM,3,mrna+rppa,mRNA+RPPA,2,0.819933843097062,mrna,0.8205991656777071,-0.0006653225806451113,False
SVM,3,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.8138321061243573,mrna,0.8205991656777071,-0.006767059553349775,False
SVM,3,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.6502704894451037,rppa,0.6604179343330816,-0.010147444887977919,False
SVM,3,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.8205492277124465,mrna,0.8205991656777071,-4.9937965260538064e-05,False
SVM,3,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.8137725527744812,mrna,0.8205991656777071,-0.006826612903225837,False
SVM,3,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.8137725527744812,mrna,0.8205991656777071,-0.006826612903225837,False
SVM,4,mutations+cnv,Mutations+CNV,2,0.6449699176466358,cnv,0.6466461996979178,-0.0016762820512820076,False
SVM,4,mutations+mrna,Mutations+mRNA,2,0.8225546939619519,mrna,0.8232200165425972,-0.0006653225806453333,False
SVM,4,mutations+rppa,Mutations+RPPA,2,0.6500813958715431,rppa,0.6354435753587226,0.014637820512820476,True
SVM,4,cnv+mrna,CNV+mRNA,2,0.8042355252274607,mrna,0.8232200165425972,-0.018984491315136576,False
SVM,4,cnv+rppa,CNV+RPPA,2,0.6580190284820369,cnv,0.6466461996979178,0.011372828784119049,True
SVM,4,mrna+rppa,mRNA+RPPA,2,0.833648159636063,mrna,0.8232200165425972,0.010428143093465736,True
SVM,4,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.8054855252274606,mrna,0.8232200165425972,-0.017734491315136602,False
SVM,4,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.658644028482037,cnv,0.6466461996979178,0.011997828784119147,True
SVM,4,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.8442635442514475,mrna,0.8232200165425972,0.021043527708850207,True
SVM,4,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.8054855252274609,mrna,0.8232200165425972,-0.01773449131513638,False
SVM,4,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.8061105252274607,mrna,0.8232200165425972,-0.017109491315136505,False
SVM,5,mutations+cnv,Mutations+CNV,2,0.6228046624950552,cnv,0.6221892778796706,0.0006153846153845732,True
SVM,5,mutations+mrna,Mutations+mRNA,2,0.8151663834645954,mrna,0.8157817680799798,-0.0006153846153844622,False
SVM,5,mutations+rppa,Mutations+RPPA,2,0.6594371920739382,rppa,0.6322379571690581,0.027199234904880187,True
