estimator,classifier,pair,pair_label,n_valid_repeats,redundancy_mean,redundancy_sd,redundancy_ci95_low,redundancy_ci95_high,unique_a_mean,unique_a_sd,unique_a_ci95_low,unique_a_ci95_high,unique_b_mean,unique_b_sd,unique_b_ci95_low,unique_b_ci95_high,synergy_mean,synergy_sd,synergy_ci95_low,synergy_ci95_high,mi_a_mean,mi_a_sd,mi_a_ci95_low,mi_a_ci95_high,mi_b_mean,mi_b_sd,mi_b_ci95_low,mi_b_ci95_high,mi_joint_mean,mi_joint_sd,mi_joint_ci95_low,mi_joint_ci95_high
I_min,RF,mutations+mrna,Mutations+mRNA,10,0.3201560495331113,0.013536008248407954,0.31248095962876604,0.3283269518322605,1.6653345369377347e-17,2.6814433536895163e-17,0.0,3.3306690738754695e-17,0.656461342767739,0.026683746111327004,0.6416626106714605,0.672770195965199,0.06292154382204285,0.008845643803296057,0.05764390370630129,0.06811030648593958,0.3201560495331112,0.013536008248407986,0.31255532648131756,0.3282328429566403,0.9766173923008505,0.021347036518726856,0.963893846323347,0.9885457345227896,1.0395389361228933,0.024497435484899174,1.024735752754236,1.05390329295856
I_min,RF,mutations+rppa,Mutations+RPPA,10,0.3201560495331113,0.013536008248407954,0.3124915602019135,0.328066742072909,1.6653345369377347e-17,2.6814433536895163e-17,0.0,3.3306690738754695e-17,0.3700623375655479,0.02436736062450239,0.35576118674129165,0.3844608991784883,0.13069263498380843,0.010923235780105815,0.12372535047364643,0.13646734534332075,0.3201560495331112,0.013536008248407986,0.3125385650135809,0.32826574248879825,0.6902183870986592,0.020738419252628943,0.6777954118550118,0.7025845315366445,0.8209110220824675,0.02226112948487908,0.8080764706166266,0.8347304937776112
I_min,SVM,cnv+mrna,CNV+mRNA,10,0.5222014957390277,0.01885949276878827,0.511258932793716,0.5332706367946479,0.002546820373607428,0.0038054092574373814,0.0005579380258268652,0.004973655529149404,0.7781815988669656,0.029844977411283634,0.7583646932439567,0.7935936703553448,0.08145924782730776,0.009361324501899375,0.07626908255384902,0.08716600979835837,0.5247483161126351,0.016160191032905027,0.5158566975322834,0.5347521497718475,1.300383094605993,0.023066710874615422,1.287090803190616,1.3138040288300166,1.3843891628069085,0.025106558617294616,1.3692467737681813,1.3987546857332738
I_min,SVM,cnv+rppa,CNV+RPPA,10,0.4721431422554575,0.02195983185974296,0.4593672972349946,0.4850860972744958,0.052605173857177646,0.00804853896655114,0.048160941314990664,0.05754624762490476,0.4236098605729124,0.03352527926559548,0.40445081458143883,0.443507275005548,0.14337402892734946,0.01313444475697154,0.1354133635184933,0.15081427116981938,0.5247483161126351,0.016160191032905027,0.5157356897274753,0.5346483227160062,0.8957530028283699,0.020325179247318175,0.8838285440545157,0.9077267304998441,1.091732205612897,0.020298365915102323,1.0800256779608455,1.1036893036966762
I_min,SVM,mrna+rppa,mRNA+RPPA,10,0.8956851912723423,0.02026146574849679,0.8838869444593699,0.9076345769905954,0.40469790333365097,0.022011772316793392,0.39144907453827404,0.4174107012094806,6.781155602767486e-05,0.00021443896872733856,1.1102230246251566e-17,0.00020343466808290245,0.10470021890220194,0.008716138442377563,0.09962772319792855,0.1097866375847643,1.300383094605993,0.023066710874615422,1.2865759315791379,1.3139954436214893,0.8957530028283699,0.020325179247318175,0.8839649754302042,0.9076973915330814,1.4051511250642228,0.021338770155793493,1.3924716082914024,1.4176976570548034
I_min,SVM,mutations+cnv,Mutations+CNV,10,0.32270775417051223,0.008019922727552108,0.31773148796655376,0.3270280651395578,0.032154584831360515,0.008276964642338189,0.02738635002542955,0.03703853248915973,0.20204056194212283,0.012213675460026401,0.19505762245580385,0.2092591259561501,0.23567421293876908,0.010579568210659763,0.22935909284554581,0.2416462976582656,0.3548623390018728,0.008576837288203902,0.35007943602142616,0.35994579071167787,0.5247483161126351,0.016160191032905027,0.5157841270851575,0.5346821096897654,0.7925771138827647,0.012978763589511815,0.784430008861502,0.7997219931358939
I_min,SVM,mutations+mrna,Mutations+mRNA,10,0.35486233900187286,0.008576837288203966,0.34985041256065785,0.3601409325129633,2.2204460492503132e-17,7.021666937153402e-17,0.0,6.661338147750939e-17,0.9455207556041204,0.023790904386165615,0.9315421132478082,0.9594620607369091,0.05098309402373916,0.006521912923788934,0.0475243825955225,0.05514813403596326,0.3548623390018728,0.008576837288203902,0.34987857861605315,0.36015632376079576,1.300383094605993,0.023066710874615422,1.2866908248416236,1.313660721470384,1.3513661886297323,0.02195077669164309,1.3382396768118943,1.3638784768091237
I_min,SVM,mutations+rppa,Mutations+RPPA,10,0.35425474178286337,0.00871657529528504,0.3492634911884482,0.3594542565895601,0.000607597219009487,0.00137542263069352,0.0,0.001625273607723865,0.5414982610455066,0.02193654298654488,0.5285304587585299,0.5545084621339729,0.14831212691827012,0.013320394409630894,0.13985656426927834,0.15526764616642597,0.3548623390018728,0.008576837288203902,0.34986744588427565,0.36005539273552245,0.8957530028283699,0.020325179247318175,0.883872763626744,0.9076588710357546,1.0446727269656495,0.018822966983840252,1.0336115819713825,1.0555136246994636
I_min,XGB,cnv+mrna,CNV+mRNA,10,0.42347052563828846,0.032033166669678606,0.4035256524691561,0.44148940553590305,0.0004208214429463009,0.0013307542479488314,0.0,0.001262464328838858,0.7143985400328792,0.033488551350141026,0.6941860365669784,0.7338168876089805,0.09398874316934121,0.013584176225834002,0.08646307092065314,0.10253407248446678,0.42389134708123477,0.03271468644395336,0.4038927513134525,0.44228063563487907,1.1378690656711676,0.019196406889084087,1.1266682499999903,1.1492685345493083,1.232278630283455,0.025010686276977757,1.2177400307980766,1.2471820206716162
I_min,XGB,cnv+rppa,CNV+RPPA,10,0.4056816221097604,0.03053788917929654,0.3873164604790108,0.42249953035322196,0.018209724971474366,0.007182925669074998,0.014093637976597852,0.022584542002688487,0.39401834216540466,0.04007736011749115,0.3710127890005651,0.4178598367840621,0.13448102744957519,0.0193082186371419,0.12378917640433788,0.14609265594804616,0.42389134708123477,0.03271468644395336,0.4034410528256892,0.44258421150323046,0.799699964275165,0.027614957207526405,0.7829609732871294,0.8158096263081221,0.9523907166962147,0.03294985507686099,0.9313942299499299,0.9704016421414356
I_min,XGB,mrna+rppa,mRNA+RPPA,10,0.7996999642751652,0.027614957207526457,0.7833616968178349,0.8155433350532085,0.3381691013960023,0.023945704265760082,0.32368569323613267,0.351955571125551,1.1102230246251566e-17,3.510833468576701e-17,0.0,3.3306690738754695e-17,0.13846349141405265,0.021070806189119367,0.12659995593902232,0.1509629673663978,1.1378690656711676,0.019196406889084087,1.126650782237117,1.1489951144389106,0.799699964275165,0.027614957207526405,0.7832178332850097,0.8154545363916504,1.27633255708522,0.02580568544717738,1.261020031603805,1.2913870699825871
I_min,XGB,mutations+cnv,Mutations+CNV,10,0.2874970046833414,0.021046385432957473,0.2744571341699587,0.2990721907925234,0.004249653186678246,0.005692768192706104,0.0011834512571731403,0.007841136606162168,0.13639434239789341,0.02480781900339369,0.12161553070528906,0.15054272188404513,0.19435057387604723,0.012544964178081425,0.18719689720369637,0.2018211720241268,0.2917466578700196,0.02180115009325675,0.2785302163584317,0.3037623902413689,0.42389134708123477,0.03271468644395336,0.40425716759808117,0.4420268417741613,0.6224915741439603,0.03442147830405869,0.601562373721797,0.6423721695024645
I_min,XGB,mutations+mrna,Mutations+mRNA,10,0.29174665787001963,0.02180115009325682,0.27837642578109295,0.30361582177815355,1.3877787807814457e-17,4.3885418357208765e-17,0.0,4.163336342344337e-17,0.846122407801148,0.03208368234509816,0.8280569312648676,0.8654286963184799,0.06322271696506043,0.011175082542004219,0.05680542794422294,0.07000821151554301,0.2917466578700196,0.02180115009325675,0.27829800424965784,0.3038141414264961,1.1378690656711676,0.019196406889084087,1.1266144551882082,1.1495816373245011,1.201091782636228,0.021259155075495046,1.1887757068004643,1.2135965272342286
I_min,XGB,mutations+rppa,Mutations+RPPA,10,0.28899436591771777,0.020970854970232086,0.27572709418239966,0.3006345361261944,0.0027522919523018524,0.0046347193056144355,0.000343004056892679,0.005784297838619895,0.5107055983574473,0.03383388282553004,0.49117297077974803,0.5309403038756189,0.13036982868756697,0.0163473361767572,0.1212244841340364,0.1401788023007176,0.2917466578700196,0.02180115009325675,0.27816825355605607,0.3038973749214592,0.799699964275165,0.027614957207526405,0.7833946097574213,0.8155034199078917,0.9328220849150337,0.03514693211784349,0.9121572406747032,0.9532712740136607
