classifier,gene,n_folds_present,mean_importance_abs,ci95_low,ci95_high,mean_importance_signed,is_pam50
RF,EDNRB,50,0.00446585766123836,0.004424762652764715,0.004503468144066171,1.4029988599387746e-18,False
RF,EEF1A1P5,50,0.002182380541460653,0.0021327628300808013,0.002231982103010656,5.793803727678514e-19,False
RF,EEF1A2,50,0.0041138854075715246,0.0040625495016568995,0.004166633938129587,-1.819661639339848e-18,False
RF,EEF1AKMT4,47,0.004303850379890751,0.004255476805261324,0.004352962475919039,3.0469473343450076e-19,False
RF,EEF1DP1,46,0.0033123444913217863,0.0032562405922101465,0.0033705842588802647,-1.3721417711692375e-18,False
RF,EEF1GP1,49,0.0016938120383469001,0.0016609432666678328,0.0017285272850148731,3.514251593223233e-19,False
RF,EEIG2,50,0.0045477265758725235,0.004508565094040694,0.004586212366078575,-1.0929614176648228e-18,False
RF,EFCAB12,50,0.004658040311540791,0.004601474281379853,0.004712653156364746,-1.3368044190405365e-18,False
RF,EFCC1,50,0.0038274045358939945,0.003781771501662952,0.003872257327478579,-9.97343676764138e-19,False
RF,EFEMP1,50,0.0035127449121349907,0.0034671497132011966,0.0035578462825617703,-1.3106366295085036e-18,False
RF,EFEMP2,50,0.004526016169759342,0.004468459895705579,0.004585844129778743,-2.3184159425528622e-18,False
RF,EFHC2,50,0.0035886251504517715,0.0035296210135942864,0.0036492861562392735,-1.3437406585820195e-18,False
RF,EFHD1,50,0.0038538818669319585,0.0038086313501063942,0.003897679023938617,-2.2798482603666622e-18,False
RF,EFNA1,14,0.00381771690464484,0.003689145516898423,0.003957919312754952,-1.7534958876947017e-19,False
RF,EFNA3,50,0.004192243595130648,0.004142799320368827,0.004242526265246571,-8.306021193506217e-19,False
RF,EFNA4,50,0.004106169234418034,0.004047836901892766,0.004165087744769048,-6.284858214296615e-19,False
RF,EFNA5,50,0.0037914760150205506,0.0037416990202502293,0.003844504355461575,8.667960547380161e-19,False
RF,EFNB2,50,0.0031966072972090666,0.003134369916882089,0.0032602757989227214,-2.6333926083245333e-19,False
RF,EFNB3,50,0.003417852492330404,0.003380236903012571,0.0034555815969377034,-1.7620957972911812e-19,False
RF,EFR3B,50,0.0037274922760505906,0.0036917743502180972,0.003767814291894593,-1.4295397439856914e-18,False
RF,EFS,50,0.003462377202965341,0.00340372999041815,0.00352248210437973,-8.418989798240506e-19,False
RF,EGF,50,0.003364525913913592,0.0033250859787411547,0.0034047401036141167,-1.0197978034335879e-18,False
RF,EGFL6,50,0.003738251831741299,0.003669340657608717,0.0038051187720895287,-1.326592809102595e-18,False
RF,EGFL7,50,0.0037843307057210725,0.0037247577494508907,0.0038405605933572355,-1.2678331452781006e-19,False
RF,EGFR,50,0.003638817734590034,0.0035817098947225155,0.003695874815429819,6.240240987736527e-19,True
RF,EGLN2,47,0.004538782862647991,0.004499823971696701,0.004575783552505167,-1.3085326158800916e-18,False
RF,EGLN3,50,0.003983265316635785,0.003934857887450914,0.00402858434829367,-2.304794189219218e-18,False
RF,EGOT,50,0.00390347336140469,0.0038545908482870267,0.003950828111955085,-9.524921430801865e-19,False
RF,EGR1,50,0.004498078170557832,0.004454772525818026,0.004540650833654976,-3.749328849452923e-19,False
RF,EGR2,50,0.0034957200230079544,0.003428598334721051,0.0035620937448465994,-1.8991235081338562e-19,False
RF,EGR3,50,0.004432198581468873,0.004395354180646726,0.004472965581758984,-1.0221036129593072e-18,False
RF,EGR3-AS1,50,0.004252613712697487,0.004209362419455363,0.0042941088834768165,-2.2870434789440862e-18,False
